Gender,Height,Weight
Male,198,109
Female,172,90
Female,187,130
Male,169,110
Male,179,56
Male,150,95
Male,158,127
Female,162,64
Female,165,95
Female,166,133
Female,167,79
Female,178,107
Female,180,59
Female,153,133
Female,175,83
Female,183,87
Male,179,127
Female,178,65
Female,183,79
Female,188,128
Female,184,147
Male,152,146
Male,165,143
Female,153,77
Male,159,145
Female,152,114
Male,182,50
Female,177,61
Male,182,73
Male,167,64
Female,195,104
Male,146,85
Female,172,108
Female,155,115
Female,176,121
Female,180,70
Male,154,81
Male,173,111
Male,174,54
Male,181,154
Male,168,158
Male,162,157
Female,186,128
Female,186,146
Male,179,56
Female,161,154
Male,159,140
Male,163,137
Male,162,130
Male,147,142
Female,178,79
Female,152,154
Male,145,142
Female,166,153
Male,154,112
Male,195,153
Male,152,132
Male,143,149
Male,179,123
Female,163,154
Male,169,136
Male,184,157
Male,176,77
Female,188,99
Male,188,65
Female,172,116
Female,195,61
Male,146,70
Female,181,80
Female,146,123
Male,186,68
Female,150,97
Female,149,61
Female,142,86
Male,183,131
Female,169,98
Male,174,107
Female,169,121
Female,177,101
Male,148,141
Female,183,76
Male,173,131
Female,145,141
Male,188,141
Male,193,130
Male,198,136
Female,146,101
Male,165,62
Male,140,146
Male,161,115
Female,164,142
Male,187,80
Male,182,70
Female,147,107
Female,157,103
Female,151,55
Male,152,98
Female,164,71
